Student_ID,Student_Name,Date_of_Birth,Exam_Date,Login_Time,Logout_Time
ST-3001,Aarav Patel,2003-05-12,2025-03-01,09:00:00,10:30:00
ST-3002,Diya Sharma,2004-08-23,2025-03-01,09:15:00,11:45:00
ST-3003,Vihaan Rao,2003-11-05,2025-03-01,08:50:00,10:10:00
ST-3004,Ananya Raje,2005-01-15,2025-03-02,14:00:00,16:30:00
ST-3005,Rohan Pawar,2004-06-30,2025-03-02,14:10:00,15:45:00
ST-3006,Ishaan Verma,2003-09-18,2025-03-02,13:55:00,16:15:00
ST-3007,Sana Khan,2005-03-22,2025-03-03,10:00:00,11:30:00
ST-3008,Kabir Das,2004-12-10,2025-03-03,10:05:00,12:20:00
ST-3009,Mira Nair,2003-07-07,2025-03-03,09:50:00,11:00:00
ST-3010,Arjun Reddy,2005-04-14,2025-03-04,11:00:00,12:45:00
ST-3011,Zara Ahmed,2004-02-28,2025-03-04,11:15:00,13:30:00
ST-3012,Dev Malhotra,2003-10-09,2025-03-04,10:45:00,12:15:00
ST-3013,Priya Patkar,2005-05-19,2025-03-05,15:00:00,16:50:00
ST-3014,Vivaan Joshi,2004-09-03,2025-03-05,15:10:00,17:25:00
ST-3015,Kavya Mohite,2003-12-25,2025-03-05,14:55:00,16:05:00
ST-3016,Aditya Kumar,2005-06-11,2025-03-06,08:30:00,10:45:00
ST-3017,Nisha Singh,2004-01-30,2025-03-06,08:45:00,10:15:00
ST-3018,Rahul Saxena,2003-04-22,2025-03-06,08:20:00,09:55:00
ST-3019,Esha Kapoor,2005-08-16,2025-03-07,12:00:00,13:45:00
ST-3020,Varun Chawla,2004-11-08,2025-03-07,12:10:00,14:30:00
ST-3021,Kriti Sanap,2003-03-27,2025-03-07,11:50:00,13:10:00
ST-3022,Ayushmann Kulthe,2005-09-14,2025-03-08,16:00:00,18:15:00
ST-3023,Bhumi Parde,2004-05-05,2025-03-08,16:15:00,17:45:00
ST-3024,Vicky Kaushal,2003-02-18,2025-03-08,15:55:00,18:30:00
ST-3025,Kiara Advani,2005-10-31,2025-03-09,09:30:00,11:15:00
ST-3026,Sid Malhotra,2004-07-20,2025-03-09,09:40:00,12:00:00
ST-3027,Alia Shinde,2003-06-15,2025-03-09,09:25:00,10:45:00
ST-3028,Ranbir Kale,2005-11-12,2025-03-10,13:30:00,15:00:00
ST-3029,Deepika Patil,2004-03-08,2025-03-10,13:45:00,16:10:00
ST-3030,Ranveer Shinde,2003-08-29,2025-03-10,13:20:00,14:50:00
