Student_ID,Full_Name,Gender,City,Contact_Number
S-101,Aarav Deshmukh,Male,Mumbai,9876543210
S-102,Diya Sharma,Female,Delhi,9876543211
S-103,Vihaan Rao,Male,Bangalore,9876543212
S-104,Ananya Raje,Female,Pune,9876543213
S-105,Rohan Gupta,Male,Chennai,9876543214
S-106,Ishaan Verma,Male,Hyderabad,9876543215
S-107,Sana Khan,Female,Kolkata,9876543216
S-108,Kabir Das,Male,Ahmedabad,9876543217
S-109,Mira Nair,Female,Jaipur,9876543218
S-110,Arjun Reddy,Male,Hyderabad,9876543219
S-111,Zara Ahmed,Female,Lucknow,9876543220
S-112,Dev Malhotra,Male,Chandigarh,9876543221
S-113,Priya Iyer,Female,Chennai,9876543222
S-114,Vivaan Joshi,Male,Pune,9876543223
S-115,Kavya Mehta,Female,Mumbai,9876543224
S-116,Aditya Kumar,Male,Delhi,9876543225
S-117,Nisha Patil,Female,Bangalore,9876543226
S-118,Rahul Saxena,Male,Bhopal,9876543227
S-119,Esha Patil,Female,Indore,9876543228
S-120,Varun Chawla,Male,Gurgaon,9876543229
